Tweet	Tag	Score
Chal hamare to shabdo ke mtlb ko badal k <Rel> bakchodi karte ho tum jasa ki tume sikhaya jata hai atank ki factories (madarsa) mein <Rel> . Pr ye baat to <Rel> puri dunia janti h ki tum apni hi bhen chod dete ho <Rel> , <Rel> halala bhi tumhare yahan hota hai <Rel> , <Rel> aur popat ne 9 saal ki aisha k sath balatkar kiya <Rel> .	Religious	5.0
<A/O> bhen chod Main sirf kotha khulna baki reh gya hai <A/O> .... Bas hi nahi chal rha big boss valoon ka... Nahi toh vaheen <A/O> blue Film shuru karden <A/O>	Abusive/Offensive	4.0
<A/O> Bhen ki lodi <A/O> . Bigg boss nahi dekhti toh <A/O> bakwass bhi mat chod <A/O> . <A/O> Betichod <A/O> . <A/O> Tera baap hai #SidharthShukla <A/O> #AppologizeToSidhartShukla	Abusive/Offensive	5.0
<U> Bhen chod <U> twitter ko twitter kam <U> khota xiada bnaya hua hai <U> 🤣🤣😂😂	Untargeted	3.0
<U> Bhen chod lun <U> ko tou mxakh smjh rakha hai... <U> w.t.f <U> 🤔	Untargeted	4.0
<A/O> Mai to maa chod du uski <A/O> jo meri maa behen ko bol k dekhe .. <A/O> lund me mere aisa show or jhanton me meri tu bhen ki lodi <A/O> .... Aya maja pad k. <A/O> Bhosdiwali <A/O> big boss ki baat kr personal q hori h... <A/O> Chut degi kya mere kutte ko <A/O> ... Thand bahut lgri use🤣🤣🤣🤣	Abusive/Offensive	5.0
Main v Changa, Mere phone v changa, COD v changi, <A/O> Jio network bhen chod <A/O> ..... 😑😑	Abusive/Offensive	3.0
Naahi us ki bhen ka yaar naahi magar itna pata hai kai <A/O> teri bhen ka yaar ho <A/O> ... <A/O> apni bhen sai jaah kar pouch turrab aya tha kaisa chod kar gaya tha <A/O> ... <A/O> chekein nikli thi virgin sai non virgin kardiya <A/O>	Abusive/Offensive	5.0
Ye sanha ab bht over kr rhi ha bhen tu jitna mrji krle mahira itna ni krri jitna tu krri ha bus kr chod de bhen usko #ChampionSidShukla	Neutral	0.0
<A/O> Bhen k lund <A/O> <A/O> ye vahi hai jisne tere jso ki ammi chod rkhi hai <A/O> ... <A/O> sale itna marunga gharwale lene se bhi inkar krdege <A/O> .. <Rel> sale halala ki paidais <Rel> ...yogi ki baat kaha kri mne...sale ghar me baith k jyada hosiyari dikhara hai.. <A/O> bahar nikal teri ammi na chod di <A/O> .. <A/O> gandu <A/O>	Religious	5.0
Es <A/O> bhen chod ka kam rundian <A/O> ko self satisfaction dyna nd dream dekhna	Abusive/Offensive	4.0
Ye voda wale <A/O> chutiya <A/O> hai. <A/O> Bhen chod <A/O> .	Abusive/Offensive	4.0
Bibi hosh karo qued e azam aur allama iqbal Allaihirehmah ka name na lo ap log Un ke mission ko badnaam na Karen mulk ka bera gharaq Kar rahe ho aur drame BAZI Kar rahe ho	Neutral	0.0
#HareemShahScandal Sir please do something. Halat tu kharab the hi ikhlaq ka bhi bera gharaq ho gaya. Kis kisam ke gande log hum per musallat ker diye Hain establishment ne. Establishment is real political group.	Neutral	0.0
Bandr marna nai <U> bc <U> bandr killa ha 😂😂😂😂😂	Untargeted	3.0
Bandr killa 😂😂😂😂😂	Neutral	0.0
Imran khan :sakoon sirf qabr main milta hai <A/O> Oye bandr <A/O> abhi sakoon nahi chahiye .....	Abusive/Offensive	1.0
<A/O> Bandr <A/O> ke padne se kch nahi hota	Abusive/Offensive	1.0
Mahira toh .real...ki... <A/O> bandr...lgti...h <A/O> ...#Shehnaazians	Abusive/Offensive	2.0
Tum sports anchor sa <A/O> syasi bandr <A/O> kab sa ban gay	Abusive/Offensive	2.0
Menuu bandr bana ditta 😒😒	Neutral	0.0
Ap na khud he bandr ko sherr bnaya tha laken bandr he nikla to is mei us ka kya kasur.	Neutral	0.0
Oh my god WE DON’t. Nobody misses her. <A/O> Bandr vargi ik dm juthi jayi <A/O> !	Abusive/Offensive	2.0
nhi to university waly kyaa lakar k bandr hain? wo insaan nhi..	Neutral	0.0
Ye batt <A/O> bandr ko dilli sadma pohncha <A/O> sakte hai 😝😁☺️	Abusive/Offensive	1.0
<A/O> bandr ke yaar bhi sare bandr <A/O>	Abusive/Offensive	1.0
Kadiyani kafir thay hain aur hamesha harain gay. <Rel> Ye dajjali fitnay ki ek kari hain <Rel> . Aur inkay supporters hum main bhe jo chupay howay hain wo bhe <Rel> khanzeer kafir he hain <Rel> . <Rel> Lannat beshomar kadiyanio pr <Rel> .	Religious	5.0
Sach kabhi chupay ni chupta	Neutral	0.0
dono shair nasir butt or ap bhag k london bill ma chupay wa hn ...	Neutral	0.0
