Tweet	Tag	Score
<A/O> Jahil ka bacha ghasti iski maa ko lun behnchod <A/O>	Sexist	5.0
<A/O> Teri maa ka bhosda <A/O> Tu wait kr abhi <A/O> bhosdike India m ja Teri maa randi h uski Baat kr rha Tu <A/O> ? <A/O> Sala ghasti ka <A/O>	Abusive/Offensive	5.0
<S> Lun kha ghasti <S> 😎	Sexist	4.0
mera ghar baar jan qurban ho mashdd k wali par aur os pak zameen pr 🙏🏻 <S> mene in muqasir peda krne wali ghasti maa pr tabrah bheja hai <S> 🙂	Sexist	4.0
hazrat eik ragen <S> ghasti muqasir peda krne wali maa k bache k iraani latadad baapo ne pese bhejna band kr diy hen agr koi pakistani Bhai muqasir k ghar ja kr osko pese de de badly mein chahe jis room mein jis k sat sOna chahe so Jaye muqasir ne khud offer di hai <S> 🤷🏻‍♂	Sexist	5.0
Acha to matlb <Rel> tum ne apna Ghastti maa ki Ghasti olad hone ka sabot de diya bhem chod Irani Mullao ki najis harami olad Aakhir kitne peso mein pesh krty ho apni maa bheny batao muje mein iran walo se ziada pay kr saqt ho <Rel>	Religious	5.0
<S> Jo ghasti aur khusra ki pecha khara hon <S> wo khan ko jhotha Bolan sharam tu patwari main ho nahi sakti	Sexist	5.0
Acha I will defend you now, <A/O> tum saron ki behn ko lun maron phudi deyon raat ko mama pesh na kr waya karo ghasti randi de bacheyon <A/O> , NOW FOLLOW ME	Abusive/Offensive	5.0
<S> Ghasti ki bachi <S>	Sexist	3.0
<S> Awara Ghasti Kutti <S> 🤪🤪🤪	Sexist	5.0
Gayaa <A/O> bc ghasti ka <A/O> bacha 😂 #KKvMS	Abusive/Offensive	4.0
<A/O> Ghasti ka bacha <A/O> hasi ja rha hai :/ gyssa arha #KKvMS	Abusive/Offensive	4.0
<S> Ik number ki ghasti ho tum <S> .. <S> Haram zadi kutti <S> .. <S> Randi <S> ...	Sexist	5.0
<A/O> Aur ma tere amma Ka Khasam Hun ghasti mah ka randawa Bacha Tere bagi ko aisa chodon Jaisa Habshi Tere amma ko rato ma chodata hain Number da Tere Bagi Ko Bhi chodna aon ga Mah ko luun ha tere Kisi Gashti mah ka Bacha <A/O>	Abusive/Offensive	5.0
<U> Bhanchod tati game ghasti <U>	Untargeted	4.0
<A/O> Ghasti man ka bacha <A/O> kabhi mahngai ka bhi poch lana kisi ghreeb admi se .ak ghreeb admi khudkhusi ki nobat tak a poncha ha or 2.5 salon main hamain sirf ak moida kar ka khus kia ga raha ha	Abusive/Offensive	4.0
Kia chornun har <U> ghasti Randi ma Ka bacha <U> Yahi karta hai Mera Saath wtf I respect everyone and this is what I get bas theek hai ab block paregha aur kuch nahi	Untargeted	5.0
<S> Phudi daya chal tu NAWAZ SHARIF BENAZIR GHASTI ZARDARI BILAWAL MARYUM GASHTI <S> ki carerr ki 1 1 achievement baata nai thoo koi seekh lai kar <S> apni apni ma aur behan ki gaand mai ekhtay daai aur mazaay lai Phir logon say kahna vakhiya maire phain diyan thumaan <S>	Sexist	5.0
<U> kisi ghasti ma ki bache ho <U> scammer	Untargeted	4.0
<S> Ghasti <S>	Sexist	3.0
<S> Or tu aik ghasti ho <S>	Sexist	3.0
<S> Tari maa Di phudi ghasti maa Di <S> apnay Ghar Ka ata pata BATA <S> tari Puri Gandi nasal na khatm <S> . <S> Randi kanjari <S>	Sexist	5.0
<S> Randi ghasti Tara baap dalaa ha as lay Tu kanjari ha lanti orat soover ki nasal <S> .	Sexist	5.0
<S> O Bc <S> 😡😡 <S> ghasti orat <S>	Sexist	5.0
<S> Bhok ghasti bhokk <S>	Sexist	5.0
<A/O> Ghasti runni bachy <A/O> .. <A/O> tu behan chudwa li kr har jaga <A/O>	Abusive/Offensive	5.0
<S> Agencies ka itna lamba hye ke mouu taak aa gyaa hye is ghasti ke <S>	Sexist	5.0
Ama day muqadra ch <A/O> lun mara sasti ghasti deya <A/O>	Abusive/Offensive	5.0
<A/O> Teri ma nu lun mara phuddi diya <A/O> kis wastay laran lag paye ae <A/O> ghasti de bachay <A/O>	Abusive/Offensive	5.0
Or <A/O> ya ghasti ka Bacha ha khota <A/O>	Abusive/Offensive	4.0
<A/O> Ghasti de bacche <A/O> tu fir aa gaya	Abusive/Offensive	4.0
Chl <S> Madarchod ghasti k beej <S> 😂	Sexist	5.0
<A/O> Kisy sasti ghasti de bachea <A/O> <A/O> pan pesh na kr kisy hor nu de ma nh lendi na Teri na Teri baji di <A/O>	Abusive/Offensive	5.0
uhh krypto taught me this <U> ghasti ka bacha <U>	Untargeted	4.0
Ya tri <S> 2ri ghasti ran ko izat na day 126 din ke gandi padawar <S>	Sexist	5.0
<S> Marja ghasti <S>	Sexist	4.0
Aisy karo <S> tum b ghasti aurat <S> .... <S> Sali porn star kutti <S>	Sexist	5.0
<A/O> Tu ghadar h ghasti k bachy <A/O>	Abusive/Offensive	5.0
<S> Ghasti noti <S> likhnense uthao ne hote	Sexist	3.0
<S> Laanat teray taay Ghasti aurat <S>	Sexist	4.0
<S> Real Gundi Kutti Ghasti of Pakistan! <S>	Sexist	5.0
Jo bi hoga <U> sahi ghasti Maa ka bacha hoga <U> 😂	Untargeted	5.0
<S> Pakistani men will tell you what you're doing is against Islam and call you ghasti in the same sentence <S>	Sexist	3.0
<S> Ghasti gardar nani <S> 420	Sexist	5.0
<S> Once A Ghasti.. always A Ghasti <S> ..	Sexist	4.0
<A/O> oye ghasti ke bache <A/O> limit mein reh	Abusive/Offensive	4.0
<A/O> Modi teri maa ghasti hogi jisne tere jese gande insan ko janm de diya <A/O> <A/O> kisi gande admi ki pedaish hai kutte k bache harami dalle desh k dalaal gaddar <A/O> yeh sab eske khandaan ke. Hi hai sb	Abusive/Offensive	5.0
